Page ID	Page Rank	Anchor Text	URL
158	0.00286174894568	['uCOMM 6400/INFO 6400']	http://www.infosci.cornell.edu/courses/courses.asp?cnumber=INFO%206400
159	0.00286174894568	['uCOMM 6450/INFO 6450']	http://www.infosci.cornell.edu/courses/courses.asp?cnumber=INFO%206450
160	0.00286174894568	['uCOMM 6500/INFO 6500']	http://www.infosci.cornell.edu/courses/courses.asp?cnumber=INFO%206500
161	0.202787456446		http://www.infosci.cornell.edu/courses/courses.asp?cnumber=INFO%206648
162	0.00566304524843	['uCS           6850', '<font color="#669900">INFO 6850</font>']	http://www.infosci.cornell.edu/courses/courses.asp?cnumber=INFO%206850
163	0.202787456446		http://www.infosci.cornell.edu/courses/courses.asp?cnumber=INFO%207050
164	0.202787456446		http://www.infosci.cornell.edu/courses/courses.asp?cnumber=INFO%207090
165	0.202787456446		http://www.infosci.cornell.edu/courses/courses.asp?cnumber=INFO%207900
166	0.202787456446		http://www.infosci.cornell.edu/courses/courses.asp?cnumber=INFO%209900
167	0.0254128876375	['uINFO Courses', 'uINFO courses', 'uINFO 3460']	http://www.infosci.cornell.edu/courses/courses.html
168	0.00284434331224	['uINFO         Courses']	http://www.infosci.cornell.edu/courses/coursesgrad.asp
169	0.0852871606119	['uCourses of Interest']	http://www.infosci.cornell.edu/courses/Coursesofinterest.htm
170	0.202787456446		http://www.infosci.cornell.edu/courses/FA09offeringnotes.html
171	0.00391515373523	['uoffering notes']	http://www.infosci.cornell.edu/courses/FA10offeringnotes.html
172	0.202787456446		http://www.infosci.cornell.edu/courses/info204/2007sp/index.htm
173	0.202787456446		http://www.infosci.cornell.edu/courses/info204/2008sp/index.htm
174	0.202787456446		http://www.infosci.cornell.edu/courses/info2040/2009sp/index.htm
175	0.202787456446		http://www.infosci.cornell.edu/courses/info2040/2010fa/index.htm
176	0.202787456446		http://www.infosci.cornell.edu/courses/info2040/2010sp/index.htm
177	0.202787456446		http://www.infosci.cornell.edu/courses/info2950/2008fa/default.htm
178	0.202787456446		http://www.infosci.cornell.edu/courses/info2950/2010sp/index.html
179	0.0031474019802	['uHadoopHints.html', 'uHadoop hints for CS/Info 4300']	http://www.infosci.cornell.edu/courses/info4300/2008fa/HadoopHints.html
180	0.00309822382212	['uMapReduceHints.html', 'uMapReduce hints for CS/Info 4300']	http://www.infosci.cornell.edu/courses/info4300/2008fa/MapReduceHints.html
181	0.202787456446		http://www.infosci.cornell.edu/Courses/info4300/2009fa/about.html
182	0.00334915725758	['uAssignments']	http://www.infosci.cornell.edu/Courses/info4300/2009fa/assignments.html
183	0.00334915725381	['uAcademic Integrity']	http://www.infosci.cornell.edu/Courses/info4300/2009fa/code.html
184	0.00334915725142	['uExaminations']	http://www.infosci.cornell.edu/Courses/info4300/2009fa/exams.html
185	0.0844641398283	['uHome']	http://www.infosci.cornell.edu/Courses/info4300/2009fa/index.html
186	0.00334915724992	['uReadings']	http://www.infosci.cornell.edu/Courses/info4300/2009fa/readings.html
187	0.00345439505475	['uSyllabus', 'u"Fall 09"']	http://www.infosci.cornell.edu/Courses/info4300/2009fa/syllabus.html
188	0.202787456446		http://www.infosci.cornell.edu/Courses/info4300/2009fa/test/URLhints.html
189	0.202787456446		http://www.infosci.cornell.edu/Courses/info4300/2010fa/about.html
190	0.00286930807408	['uassignment1.html']	http://www.infosci.cornell.edu/Courses/info4300/2010fa/assignment1.html
191	0.00286930807408	['uassignment2.html']	http://www.infosci.cornell.edu/Courses/info4300/2010fa/assignment2.html
192	0.00286930807408	['uassignment3.html']	http://www.infosci.cornell.edu/Courses/info4300/2010fa/assignment3.html
193	0.00368332319546	['uAssignments']	http://www.infosci.cornell.edu/Courses/info4300/2010fa/assignments.html
194	0.00368332319394	['uAcademic Integrity']	http://www.infosci.cornell.edu/Courses/info4300/2010fa/code.html
195	0.00368332319228	['uExaminations']	http://www.infosci.cornell.edu/Courses/info4300/2010fa/exams.html
196	0.0442408144806	['uHome']	http://www.infosci.cornell.edu/Courses/info4300/2010fa/index.html
197	0.00368332319144	['uReadings']	http://www.infosci.cornell.edu/Courses/info4300/2010fa/readings.html
198	0.00289269425149	['uHTML']	http://www.infosci.cornell.edu/Courses/info4300/2010fa/sample-exam.html
199	0.0036833231908	['uSyllabus']	http://www.infosci.cornell.edu/Courses/info4300/2010fa/syllabus.html
200	0.00295141690737	['utestData.html']	http://www.infosci.cornell.edu/Courses/info4300/2010fa/testData.html
201	0.0865196096452	['uIndependent Research', 'uindependent research webpage', 'uINFO 4900 page']	http://www.infosci.cornell.edu/courses/INFO490.htm
202	0.00670372975019		http://www.infosci.cornell.edu/courses/Minor_in_Infosci.html
203	0.00831802343997	['uINFO 2921', 'uINFO 4144', 'uINFO 4900']	http://www.infosci.cornell.edu/courses/nowebsite.htm
